UNIDADE;INSPECAO;Grupo;ITEM
16300670;1600752023;243;3
16301668;1600762023;243;2
16301668;1600762023;243;3
16301676;1600772023;243;3
16059771;1600782023;646;2
16301404;1600802023;243;2
16300114;1600812023;243;1
16300114;1600812023;243;2
16300513;1600832023;243;3
16300279;1600862023;243;1
16300279;1600862023;243;2
16300279;1600862023;243;3
16300376;1600872023;243;1
16300376;1600872023;243;2
16300376;1600872023;243;3
16300767;1600882023;243;3
16300775;1600902023;243;1
16300775;1600902023;243;2
16300775;1600902023;243;3
16300759;1600912023;243;1
16300759;1600912023;243;2
16300759;1600912023;243;3
16300848;1600922023;243;1
16300848;1600922023;243;3
16029350;1600962023;646;2
16006956;1600992023;646;2
16300891;1601022023;243;1
16300891;1601022023;243;2
16300891;1601022023;243;3
16006943;1601052023;646;2
16302770;1601082023;243;2
16302770;1601082023;243;3
18007507;1800052023;201;11
18300081;1800132023;243;3
18301088;1800142023;243;3
18300901;1800152023;243;3
18300065;1800162023;243;3
18431247;1800262023;646;3
18300324;1800272023;243;3
18300502;1800282023;243;2
18300502;1800282023;243;3
18300308;1800292023;243;3
18300588;1800312023;243;2
18300588;1800312023;243;3
18301011;1800322023;243;3
18301347;1800352023;243;3
18301258;1800362023;243;3
18301266;1800382023;243;3
18300073;1800402023;243;3
18301398;1800452023;243;3
18301401;1800462023;243;2
18301401;1800462023;243;3
18300251;1800472023;243;3
18300782;1800482023;243;3
18301274;1800492023;243;2
18301274;1800492023;243;3
18301410;1800512023;243;2
18301410;1800512023;243;3
18301622;1800522023;243;3
18301983;1800532023;243;3
18301185;1800542023;243;3
18300375;1800552023;243;2
18300545;1800572023;243;3
18300685;1800582023;243;3
20425888;2000062023;646;2
20307969;2000072023;243;2
20008857;2000082023;646;2
20008872;2000092023;646;2
20008861;2000112023;646;2
20308043;2000152023;243;2
20308086;2000162023;243;2
20307951;2000172023;243;2
20046304;2000182023;646;2
20307241;2000192023;243;3
20306181;2000232023;243;1
20306181;2000232023;243;3
20306334;2000242023;243;2
20305371;2000252023;243;2
20305982;2000262023;243;2
20432395;2000282023;646;2
20305397;2000292023;243;2
20305397;2000292023;243;3
20304781;2000322023;243;3
20305079;2000332023;243;2
20305079;2000332023;243;3
20305028;2000342023;243;2
20305532;2000362023;243;3
20306199;2000372023;243;1
20306199;2000372023;243;3
20306156;2000382023;243;2
20306237;2000412023;243;1
20008887;2000432023;646;2
20306059;2000442023;243;3
20305818;2000452023;243;2
20304889;2000472023;243;2
20304889;2000472023;243;3
20032603;2000492023;646;2
20305869;2000532023;243;3
20306989;2000542023;243;1
20306911;2000552023;243;3
20304676;2000682023;243;2
20304986;2000692023;243;2
20059263;2000712023;646;2
20305575;2000722023;243;3
20305583;2000732023;243;2
20304803;2000752023;243;1
20304595;2000762023;243;1
20300191;2000812023;243;2
20008859;2000862023;646;2
20008878;2000872023;646;2
20304773;2000912023;243;2
20304587;2000982023;243;2
20304587;2000982023;243;3
20305150;2000992023;243;2
20306105;2001032023;243;3
20303653;2001102023;243;3
20303718;2001112023;243;1
20303718;2001112023;243;2
20303718;2001112023;243;3
20008846;2001142023;646;2
20056892;2001152023;646;2
20304307;2001162023;243;3
20055741;2001172023;646;2
20008848;2001182023;646;2
20046298;2001232023;646;2
20008851;2001272023;646;2
20008856;2001282023;646;2
20046302;2001292023;646;2
20008868;2001302023;646;2
20055743;2001312023;646;2
